record_id,source,language_ok,kurmanji_ok,punctuation_ok,question_is_real,context_ok,encoding_ok,license_metadata_ok,accept,comment
v2q_024990,kurmanji_news,,,,,,,,,
v2q_013836,kurmanji_news,,,,,,,,,
v2q_012740,kurmanji_news,,,,,,,,,
v2q_008518,kurmanji_news,,,,,,,,,
v2q_015984,kurmanji_news,,,,,,,,,
v2q_001877,kurmanji_news,,,,,,,,,
v2q_029571,kurmanji_news,,,,,,,,,
v2q_018141,kurmanji_news,,,,,,,,,
v2q_025257,kurmanji_news,,,,,,,,,
v2q_006144,kurmanji_news,,,,,,,,,
v2q_009590,kurmanji_news,,,,,,,,,
v2q_011885,kurmanji_news,,,,,,,,,
v2q_030792,kurmanji_news,,,,,,,,,
v2q_020093,kurmanji_news,,,,,,,,,
v2q_016478,kurmanji_news,,,,,,,,,
v2q_012247,kurmanji_news,,,,,,,,,
v2q_013603,kurmanji_news,,,,,,,,,
v2q_027433,kurmanji_news,,,,,,,,,
v2q_005248,kurmanji_news,,,,,,,,,
v2q_014644,kurmanji_news,,,,,,,,,
v2q_012493,kurmanji_news,,,,,,,,,
v2q_001028,kurmanji_news,,,,,,,,,
v2q_031708,kurmanji_news,,,,,,,,,
v2q_013004,kurmanji_news,,,,,,,,,
v2q_003048,kurmanji_news,,,,,,,,,
v2q_028896,kurmanji_news,,,,,,,,,
v2q_007163,kurmanji_news,,,,,,,,,
v2q_027150,kurmanji_news,,,,,,,,,
v2q_016684,kurmanji_news,,,,,,,,,
v2q_029392,kurmanji_news,,,,,,,,,
v2q_033363,kurmanji_news,,,,,,,,,
v2q_006958,kurmanji_news,,,,,,,,,
v2q_030078,kurmanji_news,,,,,,,,,
v2q_021279,kurmanji_news,,,,,,,,,
v2q_004902,kurmanji_news,,,,,,,,,
v2q_014536,kurmanji_news,,,,,,,,,
v2q_009209,kurmanji_news,,,,,,,,,
v2q_028909,kurmanji_news,,,,,,,,,
v2q_006363,kurmanji_news,,,,,,,,,
v2q_012556,kurmanji_news,,,,,,,,,
v2q_015228,kurmanji_news,,,,,,,,,
v2q_004563,kurmanji_news,,,,,,,,,
v2q_003370,kurmanji_news,,,,,,,,,
v2q_015275,kurmanji_news,,,,,,,,,
v2q_026154,kurmanji_news,,,,,,,,,
v2q_007107,kurmanji_news,,,,,,,,,
v2q_017134,kurmanji_news,,,,,,,,,
v2q_031623,kurmanji_news,,,,,,,,,
v2q_030713,kurmanji_news,,,,,,,,,
v2q_005705,kurmanji_news,,,,,,,,,
v2q_027107,kurmanji_news,,,,,,,,,
v2q_000543,tatoeba,,,,,,,,,
v2q_000092,tatoeba,,,,,,,,,
v2q_000531,tatoeba,,,,,,,,,
v2q_000119,tatoeba,,,,,,,,,
v2q_000022,tatoeba,,,,,,,,,
v2q_000262,tatoeba,,,,,,,,,
v2q_000096,tatoeba,,,,,,,,,
v2q_000591,tatoeba,,,,,,,,,
v2q_000579,tatoeba,,,,,,,,,
v2q_000039,tatoeba,,,,,,,,,
v2q_000670,tatoeba,,,,,,,,,
v2q_000492,tatoeba,,,,,,,,,
v2q_000292,tatoeba,,,,,,,,,
v2q_000608,tatoeba,,,,,,,,,
v2q_000605,tatoeba,,,,,,,,,
v2q_000171,tatoeba,,,,,,,,,
v2q_000031,tatoeba,,,,,,,,,
v2q_000140,tatoeba,,,,,,,,,
v2q_000021,tatoeba,,,,,,,,,
v2q_000283,tatoeba,,,,,,,,,
v2q_000528,tatoeba,,,,,,,,,
v2q_000095,tatoeba,,,,,,,,,
v2q_000588,tatoeba,,,,,,,,,
v2q_000024,tatoeba,,,,,,,,,
v2q_000170,tatoeba,,,,,,,,,
v2q_000390,tatoeba,,,,,,,,,
v2q_000061,tatoeba,,,,,,,,,
v2q_000544,tatoeba,,,,,,,,,
v2q_000139,tatoeba,,,,,,,,,
v2q_000611,tatoeba,,,,,,,,,
v2q_000280,tatoeba,,,,,,,,,
v2q_000586,tatoeba,,,,,,,,,
v2q_000366,tatoeba,,,,,,,,,
v2q_000346,tatoeba,,,,,,,,,
v2q_000581,tatoeba,,,,,,,,,
v2q_000667,tatoeba,,,,,,,,,
v2q_000402,tatoeba,,,,,,,,,
v2q_000048,tatoeba,,,,,,,,,
v2q_000636,tatoeba,,,,,,,,,
v2q_000197,tatoeba,,,,,,,,,
v2q_000247,tatoeba,,,,,,,,,
v2q_000266,tatoeba,,,,,,,,,
v2q_000624,tatoeba,,,,,,,,,
v2q_000323,tatoeba,,,,,,,,,
v2q_000525,tatoeba,,,,,,,,,
v2q_000284,tatoeba,,,,,,,,,
v2q_000470,tatoeba,,,,,,,,,
v2q_000523,tatoeba,,,,,,,,,
v2q_000121,tatoeba,,,,,,,,,
v2q_000529,tatoeba,,,,,,,,,
